=== BUILDING-POWER PROBE — 500 games/count · tier trader · base ===

== 3p · 500 games · rounds 12.8 · winner 66.1 · margin 10.1 ==
builder baseline: P(win)=33.3% · P(win|built any)=35.3% (n=1330) — the generic builder lift is the bar a design must beat
design        dealt%  builds/g  uses/g  ticks/g  rival%  pips/build  builderWin%   direct★/g
granary       86.4%     0.36     1.81     0.85   65.7%       3.37  38.7% (155)          —
scriveners    85.8%     0.33     1.34     0.65   61.6%       3.98  41.8% (141)          —
missionq     100.0%     0.49     1.74     0.66   66.0%       2.36  35.5% (245)          —
hiringpost    81.0%     0.04     0.72     0.03   64.3%       2.93   40.0% (15)          —
almoner       87.2%     0.12     0.59     0.15   71.9%       2.21   28.3% (53)          —
racking       86.2%     0.50     0.38     0.23   76.3%       3.45  36.0% (214)          —
assay         85.2%     0.44     2.02     1.05   66.4%       3.41  36.6% (186)          —
abbey         86.8%     0.46     0.18     0.13   64.3%       3.28  39.7% (199)          —
maltkiln     100.0%     0.83     6.21     2.21   70.2%       4.65  38.6% (417)          —
hopex         84.2%     0.33     1.20     0.52   67.6%       3.60  35.8% (137)          —
tollhouse     85.2%     0.14     0.10     0.03   72.7%       3.19   43.1% (58)       0.31
cooperage     86.6%     0.39     1.34     0.46   67.3%       4.19  38.3% (167)       2.69
customs       84.4%     0.01     0.07     0.00       —       3.00    33.3% (6)          —
richberth     85.6%     0.00     0.09     0.00       —          —            —          —
bonded        82.8%     0.39     0.35     0.18   73.0%       3.45  39.3% (163)          —
victual       83.2%     0.43     0.40     0.24   71.0%       3.56  31.1% (180)          —
exchange      85.2%     0.31     2.43     0.69   62.2%       4.23  42.4% (132)          —
capstan       85.0%     0.06     0.12     0.02   85.7%       3.28   32.0% (25)          —

GATE: 0 crashes / 0 deadlocks.
