=== BUILDING-POWER PROBE — 500 games/count · tier trader · base ===

== 2p · 500 games · rounds 13.0 · winner 57.6 · margin 15.9 ==
builder baseline: P(win)=50.0% · P(win|built any)=51.7% (n=809) — the generic builder lift is the bar a design must beat
design        dealt%  builds/g  uses/g  ticks/g  rival%  pips/build  builderWin%   direct★/g
granary       84.2%     0.27     1.05     0.49   46.6%       2.82  54.4% (114)          —
scriveners    83.0%     0.18     0.53     0.20   50.6%       3.09   55.4% (74)          —
missionq     100.0%     0.33     1.38     0.39   47.2%       2.16  60.5% (167)          —
hiringpost    85.4%     0.02     0.32     0.01   50.0%       2.57    57.1% (7)          —
almoner       88.6%     0.08     0.43     0.08   58.8%       1.94   55.6% (36)          —
racking       84.6%     0.32     0.17     0.09   55.6%       3.26  54.7% (137)          —
assay         85.2%     0.34     0.84     0.48   50.2%       2.40  46.9% (145)          —
abbey         84.8%     0.31     0.08     0.06   73.1%       3.20  59.4% (133)          —
maltkiln     100.0%     0.55     2.57     1.12   53.8%       4.05  53.1% (273)          —
hopex         85.4%     0.23     0.56     0.20   44.0%       2.87   42.3% (97)          —
tollhouse     83.6%     0.08     0.08     0.00    0.0%       3.06   50.0% (32)       0.24
cooperage     85.6%     0.27     0.99     0.27   52.6%       4.00  57.0% (114)       1.97
customs       83.6%     0.01     0.06     0.00       —       3.00    75.0% (4)          —
richberth     84.6%     0.00     0.06     0.00       —          —            —          —
bonded        83.6%     0.23     0.24     0.06   66.7%       3.25   47.9% (96)          —
victual       83.8%     0.28     0.22     0.07   63.3%       3.25  52.5% (118)          —
exchange      84.4%     0.19     1.77     0.39   45.7%       4.08   58.2% (79)          —
capstan       84.8%     0.02     0.05     0.00    0.0%       3.14    85.7% (7)          —

GATE: 0 crashes / 0 deadlocks.
