id	rounds	sailed	end	turns	sails	charters	enshrines	overbuilds	rent	boxed	spoil	tolls	rivalLoads	pickups	floorTurns	taps	hires	specBuys	surveys	deadStops	nothingToLoad	thinTurns
4p-5	17	13/13	CLOCK	68	6	2	5	0	0	0	0	24	8	1	9	6	0	7	1	78	0	0
4p-6	18	13/13	CLOCK	72	7	1	5	7	8	7	3	29	7	4	9	6	11	5	3	54	6	0
4p-7	15	14/13	CLOCK	60	6	4	4	1	1	1	0	25	6	0	6	4	1	5	0	65	2	0
4p-8	18	13/13	CLOCK	72	5	4	4	6	7	3	0	31	7	2	8	12	0	13	9	62	2	0
4p-9	15	14/13	CLOCK	60	4	3	7	2	3	0	1	18	4	2	6	8	2	9	5	60	0	0
4p-10	18	13/13	CLOCK	72	2	6	5	0	0	0	2	22	3	0	6	5	12	1	2	59	6	0
4p-11	16	13/13	CLOCK	64	5	5	3	2	2	1	0	21	7	0	9	4	0	8	1	72	4	0
4p-12	25	15/13	CLOCK	100	4	5	6	0	0	0	0	20	6	2	10	8	2	9	6	153	0	0
4p-13	14	14/13	CLOCK	56	9	1	4	5	5	0	0	25	6	3	5	2	1	6	6	56	2	0
4p-14	19	14/13	CLOCK	76	6	1	7	0	0	0	1	23	6	2	3	5	2	7	2	82	3	0
4p-15	16	13/13	CLOCK	64	6	2	5	6	6	3	0	24	6	0	9	11	4	9	7	55	0	0
4p-16	25	8/13	ROUND	100	3	1	4	13	15	7	2	23	0	0	16	13	0	6	19	98	0	0
4p-17	25	13/13	CLOCK	100	3	5	5	9	10	6	1	34	0	0	14	11	1	9	14	85	6	0
4p-18	19	13/13	CLOCK	76	5	2	6	3	3	0	1	26	7	0	8	7	0	10	3	85	0	0
4p-19	20	14/13	CLOCK	80	6	3	5	3	4	0	1	25	7	3	11	2	1	5	4	86	2	0
4p-20	20	13/13	CLOCK	80	6	1	6	3	3	0	0	28	5	2	6	1	0	4	4	87	12	0
4p-21	17	16/13	CLOCK	68	5	4	7	0	0	0	0	23	9	1	6	9	0	10	1	77	7	0
4p-22	23	15/13	CLOCK	92	8	2	5	0	0	0	0	40	10	4	10	6	5	11	1	92	14	0
4p-23	18	14/13	CLOCK	72	8	1	5	0	0	0	2	28	4	0	5	8	0	6	2	63	5	0
4p-24	15	13/13	CLOCK	60	4	3	6	1	1	0	2	26	3	1	4	4	0	7	4	41	3	0
4p-25	18	14/13	CLOCK	72	5	4	5	3	3	0	1	25	7	1	9	5	1	9	1	79	5	0
4p-26	13	14/13	CLOCK	52	7	3	4	4	5	0	0	16	6	2	4	3	2	3	7	43	4	0
4p-27	16	14/13	CLOCK	64	12	0	2	3	4	0	0	20	9	3	4	3	2	2	6	56	9	0
4p-28	17	13/13	CLOCK	68	8	2	3	3	3	0	0	23	9	2	10	1	2	0	1	64	24	0
4p-29	20	14/13	CLOCK	80	6	0	8	3	4	1	0	33	4	2	8	11	0	8	7	77	0	0
4p-30	22	14/13	CLOCK	88	6	4	4	6	8	1	3	35	7	3	13	8	0	6	11	78	6	0
4p-31	16	14/13	CLOCK	64	7	4	3	4	4	0	0	26	11	3	6	6	1	5	3	64	4	0
4p-32	17	14/13	CLOCK	68	7	3	4	0	0	0	0	28	11	3	16	7	0	10	4	61	2	0
4p-33	17	14/13	CLOCK	68	9	4	1	3	3	2	0	24	12	5	3	6	4	8	1	98	1	0
4p-34	17	13/13	CLOCK	68	7	2	4	3	3	0	0	21	6	4	8	4	2	1	8	74	2	0
4p-35	20	15/13	CLOCK	80	8	3	4	8	10	2	1	33	9	4	20	8	0	8	14	58	5	0
4p-36	15	15/13	CLOCK	60	5	2	8	1	2	1	0	23	3	2	3	9	10	6	5	64	0	0
4p-37	17	13/13	CLOCK	68	6	3	4	1	1	0	0	31	7	2	2	5	3	3	5	67	5	0
4p-38	17	13/13	CLOCK	68	5	6	2	1	2	1	1	30	7	1	12	6	2	11	2	42	8	0
4p-39	12	13/13	CLOCK	48	4	2	7	0	0	0	0	18	3	1	1	2	7	3	0	62	0	0
4p-40	14	14/13	CLOCK	56	5	4	5	1	1	1	1	20	3	1	5	5	2	7	4	53	3	0

-- averages per player count --
2p (40 games): rounds 17.1 · sails 3.3 · charters 1.0 · enshrines 1.9 · overbuilds 0.4 · spoil 0.1 · tolls 4.7 · rivalLoads 1.5 · deadStops 38.1 · thinTurns 0.0/34.2 turns
3p (40 games): rounds 18.6 · sails 5.2 · charters 1.9 · enshrines 3.7 · overbuilds 1.4 · spoil 0.3 · tolls 15.1 · rivalLoads 4.6 · deadStops 61.9 · thinTurns 0.0/55.9 turns
4p (40 games): rounds 17.8 · sails 5.9 · charters 2.9 · enshrines 4.8 · overbuilds 3.0 · spoil 0.6 · tolls 25.3 · rivalLoads 6.3 · deadStops 71.6 · thinTurns 0.0/71.2 turns
